[name],[definition]
Support Vector Machine (SVM),"A supervised machine learning algorithm used for classification and regression analysis, which tries to find the best boundary or hyperplane that separates data points into different classes."
K-Nearest Neighbors (KNN),"A non-parametric machine learning algorithm used for classification and regression analysis, which assigns a new data point to the class of the K closest neighbors in the training data."
Convolutional Neural Network (CNN),"A type of deep neural network commonly used for image and video processing tasks, which uses convolutional layers to learn spatial features from the input data."
Artificial Neural Network (ANN),"A machine learning model inspired by the structure and function of the human brain, which uses layers of interconnected nodes to process input data."
Generative Adversarial Network (GAN),"A type of deep neural network consisting of two models (a generator and a discriminator), which work together to generate new data samples that are similar to the training data."
Deep Neural Network (DNN),"A type of neural network that has multiple hidden layers, allowing it to learn increasingly complex representations of input data."
Long Short-Term Memory (LSTM),A type of recurrent neural network (RNN) that is designed to capture long-term dependencies in sequential data by maintaining a memory of past inputs and selectively forgetting or updating that memory as new inputs are received.
Deep Belief Network (DBN),"A generative model that consists of multiple layers of restricted Boltzmann machines (RBMs), which can learn a hierarchical representation of data by unsupervised learning."
Stacked Denoising Autoencoder (SDAE),"A type of neural network that learns to reconstruct a clean input from a noisy or corrupted input, by training multiple layers of denoising autoencoders on top of each other, with the output of one layer serving as the input to the next."
Recurrent Neural Network (RNN),A type of neural network that can handle sequential data by taking into account previous inputs in addition to the current input.
Deep Forests (DF),"An ensemble learning method that uses a forest of decision trees to make predictions, where each tree in the forest is trained on a random subset of features."
Dense Neural Network (DenseNN),"A type of neural network that has densely connected layers, where each neuron in one layer is connected to every neuron in the next layer."
Variational Autoencoder (VAE),A type of autoencoder that learns a lower-dimensional representation of data by mapping the input to a probability distribution and then sampling from that distribution.
Self-Attention Transformer Encoder (SATE),"A neural network architecture that uses self-attention mechanisms to learn representations of input sequences, commonly used in natural language processing tasks."
Stacked Contractive Autoencoder (SCAE),"A type of autoencoder that learns a compressed representation of the input data while minimizing reconstruction error, with the addition of a contractive penalty term to ensure the learned representations are robust to small perturbations."
Bidirectional Encoder Representations from Transformers (BERT),"A transformer-based neural network architecture that uses bidirectional context to learn deep representations of text, which has achieved state-of-the-art performance in various natural language processing tasks."
Self-Attention Mechanism (SAM),"A mechanism used in neural networks that allows the network to focus on different parts of the input during different stages of processing, commonly used in natural language processing and computer vision tasks."
Marginalized Denoising Autoencoder (MDAE),"A type of denoising autoencoder that uses a marginalized denoising scheme to reconstruct the input data, where each input feature is randomly set to zero with a certain probability."
Logistic Regression (LR),A statistical method used to analyze relationships between input variables and binary outcomes. It is commonly used for classification tasks.
Naïve Bayes (NB),"A probabilistic model used for classification tasks, which is based on Bayes' theorem and assumes that all features are independent of each other."
Random Forest (RF),"An ensemble learning method used for classification, regression, and feature selection, which combines multiple decision trees to improve accuracy and avoid overfitting."
Decision Tree (DT),"A decision-making tool used for classification and regression analysis, which creates a model of decisions and their possible consequences."
AdaBoost,"A boosting algorithm used for classification tasks, which combines multiple weak classifiers to create a strong classifier."
Bagging,A technique used to reduce variance in supervised learning algorithms by creating multiple models on different subsets of the training data and averaging their predictions.
C4.5,A decision tree algorithm that builds decision trees from a dataset by iteratively dividing the dataset into subsets based on the most significant attributes.
Self-Organizing Map (SOM),A type of artificial neural network that can be used for unsupervised learning and is often used for clustering and visualization tasks.
Learning Vector Quantization (LVQ)-3,"A type of artificial neural network that can be used for classification tasks, which assigns input data to specific classes based on the distances between the input data and pre-defined class prototypes."
MultiLVQ,An extension of LVQ that can handle multiple classes in a more efficient manner.
Locally Linear Embedding SVM (LLE-SVM),A machine learning algorithm that combines Support Vector Machines (SVM) with Locally Linear Embedding (LLE) to improve accuracy for high-dimensional data.
Neighborhood Preserving Embedding SVM (NPE-SVM),A machine learning algorithm that combines Support Vector Machines (SVM) with Neighborhood Preserving Embedding (NPE) to improve accuracy for high-dimensional data.
Alternating Decision Tree (ADT),A decision tree algorithm that builds a tree by computing the expected cost of each attribute based on the distribution of data in each subtree.
XGBoost,"eXtreme Gradient Boosting. An optimized distributed gradient boosting library that can be used for both regression and classification tasks, which uses decision trees as base learners and focuses on computational efficiency and model accuracy."
K-Means,K-means is a clustering algorithm that groups data points into K clusters based on their similarity to each other.
Apriori Algorithm,The apriori algorithm is a rule-based method for association rule learning that identifies frequent itemsets in transactional databases.
Linear Regression,Linear regression is a statistical method for modeling the relationship between a dependent variable and one or more independent variables.
Nearest Neighbors,Nearest neighbors is a method for classification and regression that predicts the outcome for a new data point based on the outcomes of its closest data points in the training set.
Regression,"Regression is a family of methods for modeling the relationship between a dependent variable and one or more independent variables, with the goal of predicting the value of the dependent variable."
Association Rule Learning,Association rule learning is a class of algorithms that discover interesting relationships between variables in large datasets.
Inductive Logic Programming (ILP),Inductive logic programming is a machine learning technique that learns rules from examples and background knowledge in the form of logical statements.
Sparse Dictionary Learning,Sparse dictionary learning is a method for finding a set of basis functions that can represent a given signal or dataset in a sparse manner.
Representation Learning,Representation learning is a class of algorithms that learn representations of data that capture its underlying structure or features.
Genetic Algorithms,"Genetic algorithms are optimization methods inspired by the process of natural selection, where a population of candidate solutions is evolved to find the best solution to a problem."
Similarity,"Similarity is a measure of how similar or dissimilar two objects or data points are to each other, often used in clustering, classification, and recommendation systems."
Metric Learning,"Metric learning is a type of learning where a distance metric is learned from data, in order to better compare and classify objects based on their similarities and differences."
Deep Learning (DL),Deep learning: a subset of machine learning that utilizes deep neural networks with multiple layers to learn and extract hierarchical representations of data.
Neural Network (NN),Neural network: a computational model composed of interconnected nodes that simulates the function of the human brain to learn from data and make predictions.
Bayesian Network,Bayesian network: a probabilistic graphical model that represents a set of random variables and their conditional dependencies using directed acyclic graphs.
Multilayer Perceptron (MLP),Multilayer perceptron (MLP): a type of neural network with multiple layers of nodes that perform nonlinear transformations of input data for classification or regression tasks.
Extreme Learning Machine (ELM),Extreme learning machine (ELM): a neural network with randomly generated input weights that are only trained on the output layer to achieve fast and efficient learning.
Ensembled Artificial Neural Network (EANN),Ensembled artificial neural network (EANN): a combination of multiple neural networks to improve the accuracy and robustness of predictions through ensemble learning techniques.
Multinomial Naïve Bayes (MNB),Multinomial Naïve Bayes (MNB) is a probabilistic algorithm used for text classification and document categorization.
Rule-Based (RB),Rule-based (RB) models use a set of pre-defined rules and conditions to make predictions based on input data.
Discriminative Multinomial Naïve Bayes (DMNV),Discriminative Multinomial Naïve Bayes (DMNV) is an improved version of MNB that addresses the issue of classifying texts that contain words that do not exist in the training data.
Latent Dirichlet Allocation (LDA),Latent Dirichlet Allocation (LDA) is a generative statistical model used for topic modeling and document clustering.
Hierarchical Agglomerative Clustering (HAC),Hierarchical Agglomerative Clustering (HAC) is an unsupervised learning algorithm used for clustering analysis.
Biterm Topic Modeling (BTM),"Biterm Topic Modelling (BTM) is a generative probabilistic model used for text analysis, topic modeling and document clustering."
Expectation Maximization (EM),Expectation Maximization (EM) is an iterative optimization algorithm used to estimate the parameters of a statistical model in the presence of missing or incomplete data.
Self-Training,Self-training is a semi-supervised learning method that iteratively trains a model on a subset of labeled data and then uses that model to label the remaining unlabeled data.
Active Learning,Active learning is a semi-supervised learning method where the model is trained on a subset of labeled data and then selects the most informative instances from the remaining unlabeled data for labeling by an expert.
Random Subspace Method for Co-Training (RAS-CO),Random Subspace Method for Co-Training (RAS-CO) is an ensemble-based approach to semi-supervised learning that involves training multiple classifiers on different subsets of features and then using these classifiers to label the unlabeled data.
Relevant Random Subspace Method for Co-Training (Rel-RASCO),Relevant Random Subspace Method for Co-Training (rel-RASCO) is a modified version of RAS-CO that selects the most relevant features for each classifier based on their importance for the given task.
Hidden Markov Model (HMM),"A statistical model used to model time series data, where the system being modeled is assumed to be a Markov process with hidden states."
Game-AI,"The use of artificial intelligence techniques, such as decision-making algorithms and machine learning, in the design and development of video games."
Analytic Hierarchy Process (AHP),A multi-criteria decision-making method that uses pairwise comparisons to determine the relative importance of different criteria and alternatives.
Q-Learning,A model-free reinforcement learning algorithm that learns to make decisions by maximizing the expected reward over time.
Deep Q-Learning,A type of Q-learning that uses a neural network to estimate the Q-values of actions.
Deep Q-Network,"A deep neural network used in deep Q-learning, where the network is trained to estimate the optimal action-value function for a given state."
Clustering,A method of unsupervised learning used to group similar data points together based on their similarity.
Online Learning,"A machine learning approach that learns from data as it arrives in a stream or in batches, updating the model in real-time."
Particle Swarm Optimization (PSO),"A population-based optimization technique inspired by the social behavior of birds and insects, used to find the optimal solution to a problem by iteratively searching the solution space."
Dueling DQL,"A variant of deep Q-learning that separates the estimation of the state value and the action advantage, resulting in a more stable and efficient learning process."
Double DQL,A variant of Q-learning that uses two separate value functions to avoid overestimating the values of actions.
Deep Supervised Learning,"A type of machine learning that uses a deep neural network to learn a mapping from input to output data, with supervision from labeled training data."
Double-Dueling Deep Q-Learning,"A combination of the double and dueling Q-learning algorithms, where both value functions and the state value and action advantage are separated."
Post-Decision State Learning,"A reinforcement learning method that considers the state of the environment after an action has been taken, in addition to the state before the action, to improve the accuracy of the learned value function."
Utility-Based Learning (UL),"A type of reinforcement learning that models the preferences of the agent over outcomes, and learns to select actions that maximize its expected utility."
Modular Online Training Machine Learning Model (MALMOS),"A machine learning approach that decomposes the learning task into smaller, modular components, which can be trained and updated independently."
Hidden Semi-Markov Model (HSMM),A variant of the HMM that allows for more complex state transitions by modeling the duration of each state.
Temporal Difference Learning,A reinforcement learning method that updates the value function of a state based on the difference between the current estimate and the estimate based on the next state and reward.
Deep Deterministic Policy Gradient (DDPG),"A reinforcement learning algorithm that combines deep Q-learning with policy gradients, allowing for the learning of continuous action spaces in high-dimensional environments."
Co-Forest,A machine learning algorithm that combines multiple decision tree models to improve classification accuracy and reduce overfitting.
Compound Covariate Predictor,A method of predicting outcomes that takes into account multiple predictor variables and their interactions.
