[category],[name]
Model Task,Classification
Model Task,Regression
Model Task,Sequential Modeling
Model Task,Generative Modeling
Model Task,Discriminative Modeling
Model Task,Ensemble Learning
Model Task,Optimization Techniques
Model Task,Tree-Based Model
Model Task,Clustering
Model Task,Probabilistic Model
Model Task,Object Detection
Model Task,Evolutionary Algorithm Models
Model Task,Instance-Based Learning
Model Task,Decision-Making Models
Model Task,Natural Language Processing
Model Task,Prediction Mechanism
Model Task,Dimensionality Reduction
Model Task,Pretrained Transformers for NLP
Model Task,Fuzzy Inference Systems
Model Task,Time Series Forecasting
Model Task,Feature Extraction
Model Task,Topic Modeling
Model Task,Ranking Systems
Model Task,Feature Selection
Model Task,Association Rule Mining
Model Task,Representation Learning
Model Task,Statistical Models
Model Task,Metric Learning
Model Task,Feature Representation
Model Task,Collaborative Machine Learning
Model Task,Instance Segmentation
Model Task,Binary Classification
Model Task,Multiclass Classification
Model Task,Large Language Models (LLM)
Model Task,Multimodal Models
Model Task,Causal Inference
Algorithm Family,Neural Network Models
Algorithm Family,Support Vector Machine (SVM)
Algorithm Family,Autoencoding Networks
Algorithm Family,Decision Tree Models
Algorithm Family,Bayesian Model
Algorithm Family,Long Short-Term Memory (LSTM)
Algorithm Family,K-Nearest Neighbors (KNN)
Algorithm Family,Regression Algorithms
Algorithm Family,Q-Learning
Algorithm Family,Extreme Learning Machine
Algorithm Family,Rule-Based Systems
Algorithm Family,Fuzzy Decision Models
Algorithm Family,Generative Adversarial Networks (GANs)
Algorithm Family,Bidirectional Encoder Representations from Transformers (BERT)
Algorithm Family,Generalized Linear Model (GLM)
Algorithm Family,Genetic Algorithms
Algorithm Family,Naive Bayes Models
Algorithm Family,Hidden Markov Model (HMM)
Algorithm Family,Deep Belief Network (DBN)
Algorithm Family,Perceptron Models
Algorithm Family,Attention Mechanisms
Algorithm Family,Autoregressive Integrated Moving Average (ARIMA)
Algorithm Family,K-Means Clustering
Algorithm Family,Probabilistic Graphical Model
Algorithm Family,Particle Swarm Optimization (PSO)
Algorithm Family,Frequent Itemset Mining
Algorithm Family,Gaussian Processes
Algorithm Family,Linear Discriminant Analysis (LDA)
Algorithm Family,Radial Basis Neural Networks
Algorithm Family,Principal Component Analysis (PCA)
Algorithm Family,State-Action-Reward-State-Action (SARSA)
Algorithm Family,Policy Gradient
Algorithm Family,Partial Least Squares (PLS)
Algorithm Family,Markov Decision Processes (MDP)
Algorithm Family,Edge-Based Learning
Algorithm Family,Inductive Logic Programming
Algorithm Family,Dictionary Learning
Algorithm Family,Hierarchical Agglomerative Clustering
Algorithm Family,Expectation-Maximization (EM)
Algorithm Family,Utility-Based Learning
Algorithm Family,Temporal Difference Learning
